FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0.237299735,0.093261604,0.126934736,-0.793158219,-0.501704942,-0.452613288,0.562837705,0.565929377,0.271019386,-0.369479916,0.234441454,0.424931039,-0.538207491,1.140640187,1.166935744,1.322707709,-0.961087429,-0.098977831,0.240130681,-0.02375304,0.105713925,0.04141045
-0.480940193,-1.074283031,1.52180282,-1.598328476,-1.769666833,-2.854631909,0.419481098,0.229661506,0.716283376,0.830786711,-0.590097343,0.492533974,-3.668752692,3.991292937,1.965596097,2.988851325,-0.2184585,0.281800919,1.196056049,0.785082008,-0.123306446,-0.827262339
1.353357234,0.856259988,0.811914599,-1.598328476,-1.693808997,-2.113488617,2.130509929,2.331080205,0.029304648,-0.053620277,1.294220827,1.245544699,0.425037186,0.729477084,1.084099448,1.029336046,-0.088469019,0.399923036,0.180583167,0.873520349,-0.271089646,1.042702784
-0.489737465,-0.254915032,-0.595407665,0.678143139,0.726981055,0.315318316,-0.829483903,-0.824378039,-0.13607912,-0.195757114,-0.518779654,-0.534700865,0.480608994,-0.33625562,-1.353199694,-0.972141216,-0.779818554,-1.355857282,-0.308570027,-0.915370612,-0.201644765,-0.366130443
-0.290999815,-0.305272556,-0.059877954,0.236573284,0.337301951,0.297459441,-0.40343038,-0.563285675,0.61450875,0.24644638,-0.060477042,-0.012317301,-0.093633025,0.119938182,0.636477068,0.469601658,-0.673437423,-0.227068542,0.434261779,-0.795624263,-0.054943686,-0.176578135
-0.10258566,-0.228939427,0.164297274,0.669293881,0.372929994,0.735001867,-0.463526339,-0.557911381,0.449124982,0.73602882,-0.281497594,-0.237301792,-0.630827172,-0.910704862,-0.757598907,-0.893720024,0.808442065,1.532931098,0.416277024,1.633101511,0.697359383,-0.06808612
-0.511191459,0.051481895,-1.130937376,0.767313686,0.85501428,0.368894939,-0.8980973,-0.644836248,-1.62453303,-0.89064832,-0.635911563,-0.543317447,-1.306950839,-0.749916552,-0.728849634,-0.804511495,-0.126982599,-0.942423234,-0.036497894,-1.306867306,-0.168894294,-0.398695119
-0.733158638,-0.607665411,-0.433503334,0.834813761,0.673010845,0.708213555,-1.141937792,-1.181390747,-0.314184716,0.420169181,-0.191893279,-0.404068454,1.341972023,-0.474667249,-0.900715724,-0.751750114,-0.240601538,0.239183346,-0.731307897,-0.805054921,-1.052639064,-0.406166771
0.374975055,-0.596054011,2.107149248,-1.598328476,-1.729410987,-1.961688184,1.217877064,0.762604928,1.403262104,1.588849844,0.151544118,0.244518299,-0.251086482,1.539729914,1.191619424,1.454441139,-0.806728549,-0.488322156,0.969501338,-0.502348172,-0.630900302,0.001440843
-0.160514885,0.283436938,-0.794674534,0.572260738,0.671896993,0.145659008,-0.464676047,-0.239468855,-0.695839564,-0.764304464,-0.355009599,-0.499499791,0.489870962,-0.640821413,-0.88610147,-0.916578304,0.749286282,1.843288971,-0.615863902,0.320102938,0.148582173,-0.136839781
-0.612515174,-0.876751815,0.42583504,-0.894088011,-1.076529215,0.806437365,-0.15106089,-0.08169266,-0.085191806,0.135895506,-0.397123443,-0.31774909,-0.232562546,-0.306473769,0.359573538,0.058624169,1.336886502,0.754645893,0.674434255,-0.038924686,-0.513254735,-0.741258695
3.645737019,2.830446727,0.97381893,-0.871417758,-0.665828981,-0.399036664,3.872644541,3.659697462,0.678117891,0.435962163,4.042276968,5.390903635,-1.06613967,0.625484797,3.057187773,2.274684474,1.426537063,-0.454845822,0.284366407,3.185023959,0.271723676,3.658890591
-1.411000411,-1.260657999,-0.49577423,-1.598328476,-1.300973777,-2.854631909,-0.448077142,-0.319930937,-0.212410089,-1.727676362,-0.300678517,0.352499323,-2.409125037,0.706383674,0.133628549,0.397385347,-0.463407259,-1.073590108,-0.122816017,-0.003505167,0.638365833,-1.299922533
0.309231504,0.496052002,-0.259144823,0.074809101,-0.046903168,0.395683251,0.314779153,0.542438945,-0.543177625,-0.448444825,0.668217328,0.370117848,1.240090374,-0.427377923,0.350413606,0.042809765,0.945939289,-0.608643082,-0.039369183,0.20039639,0.403986053,0.437965595
0.296768352,0.270653183,0.014847122,0.368005854,0.2578256,0.601060308,0.073203067,0.086096199,-0.047026322,0.183274452,-0.178480948,-0.321359787,0.721420163,-0.19140507,-0.700019605,-0.506715986,-0.734925654,2.036663286,-0.018741875,0.118937591,-0.155064272,0.230876425
-0.733693108,-0.56175187,-0.470865871,-0.470484725,-0.240247387,-0.202589045,-0.431001714,-0.380630403,-0.161522776,-0.748511482,-0.15227874,-0.093527559,-0.195514673,-0.239838411,1.259389546,0.719613682,0.139047684,0.325700223,-0.285317747,0.305328186,0.573162436,-0.63862088
1.847396884,0.891237189,1.422169385,-1.488677,-1.596990444,-0.247236231,2.531585089,2.325554098,0.690839719,0.751821801,0.197520736,0.198105402,-0.001013344,1.100642876,2.015760216,1.801380237,-0.739532441,-0.908967716,0.364689173,0.261209136,0.116738654,1.0600167
-0.033686858,-1.400439225,4.28663063,-1.598328476,-1.769666833,-2.854631909,0.83667808,-0.089272969,3.5150856,4.3368287,-1.057941382,-0.507989462,-3.798420245,1.225754463,1.951732559,1.81426937,-1.201079867,-0.885920581,1.153364237,-0.171157558,0.043710849,-0.610094142
